"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"sey01110","sey01110","Biosynthesis of secondary metabolites","176/547","350/1771",1.31478082512491e-17,6.64746728949457e-16,4.72109281181606e-16,"SL1344_0002/SL1344_0004/SL1344_0007/SL1344_0112/SL1344_0113/SL1344_0152/SL1344_0153/SL1344_0154/SL1344_0159/SL1344_0170/SL1344_0203/SL1344_0233/SL1344_0318/SL1344_0367/SL1344_0381/SL1344_0411/SL1344_0416/SL1344_0481/SL1344_0482/SL1344_0585/SL1344_0660/SL1344_0662/SL1344_0663/SL1344_0680/SL1344_0712/SL1344_0714/SL1344_0716/SL1344_0717/SL1344_0718/SL1344_0719/SL1344_0720/SL1344_0721/SL1344_0737/SL1344_0749/SL1344_0750/SL1344_0873/SL1344_0914/SL1344_0935/SL1344_1058/SL1344_1062/SL1344_1072/SL1344_1131/SL1344_1132/SL1344_1133/SL1344_1170/SL1344_1176/SL1344_1224/SL1344_1225/SL1344_1253/SL1344_1261/SL1344_1283/SL1344_1312/SL1344_1358/SL1344_1397/SL1344_1398/SL1344_1400/SL1344_1488/SL1344_1489/SL1344_1490/SL1344_1497/SL1344_1557/SL1344_1631/SL1344_1643/SL1344_1644/SL1344_1654/SL1344_1657/SL1344_1658/SL1344_1680/SL1344_1683/SL1344_1708/SL1344_1724/SL1344_1755/SL1344_1817/SL1344_1820/SL1344_1822/SL1344_1862/SL1344_2048/SL1344_2049/SL1344_2050/SL1344_2051/SL1344_2053/SL1344_2054/SL1344_2058/SL1344_2060/SL1344_2061/SL1344_2072/SL1344_2075/SL1344_2118/SL1344_2253/SL1344_2254/SL1344_2276/SL1344_2300/SL1344_2331/SL1344_2335/SL1344_2357/SL1344_2371/SL1344_2381/SL1344_2393/SL1344_2436/SL1344_2437/SL1344_2450/SL1344_2452/SL1344_2462/SL1344_2472/SL1344_2485/SL1344_2488/SL1344_2508/SL1344_2517/SL1344_2527/SL1344_2616/SL1344_2931/SL1344_3029/SL1344_3031/SL1344_3032/SL1344_3038/SL1344_3039/SL1344_3044/SL1344_3045/SL1344_3052/SL1344_3065/SL1344_3081/SL1344_3168/SL1344_3262/SL1344_3277/SL1344_3302/SL1344_3331/SL1344_3353/SL1344_3450/SL1344_3453/SL1344_3467/SL1344_3493/SL1344_3502/SL1344_3503/SL1344_3505/SL1344_3506/SL1344_3645/SL1344_3665/SL1344_3666/SL1344_3670/SL1344_3844/SL1344_3863/SL1344_3864/SL1344_3865/SL1344_3869/SL1344_3891/SL1344_3924/SL1344_3932/SL1344_3935/SL1344_3936/SL1344_4011/SL1344_4013/SL1344_4030/SL1344_4034/SL1344_4049/SL1344_4050/SL1344_4056/SL1344_4070/SL1344_4073/SL1344_4115/SL1344_4118/SL1344_4119/SL1344_4156/SL1344_4157/SL1344_4172/SL1344_4184/SL1344_4211/SL1344_4278/SL1344_4279/SL1344_4280/SL1344_4285/SL1344_4348/SL1344_4395/SL1344_4397/SL1344_4399/SL1344_4416/SL1344_4497",176
"sey01200","sey01200","Carbon metabolism","77/547","112/1771",1.60179934686616e-17,6.64746728949457e-16,4.72109281181606e-16,"SL1344_0007/SL1344_0152/SL1344_0153/SL1344_0154/SL1344_0159/SL1344_0233/SL1344_0535/SL1344_0712/SL1344_0714/SL1344_0716/SL1344_0717/SL1344_0718/SL1344_0719/SL1344_0720/SL1344_0721/SL1344_0749/SL1344_0914/SL1344_1176/SL1344_1225/SL1344_1253/SL1344_1261/SL1344_1283/SL1344_1312/SL1344_1398/SL1344_1400/SL1344_1496/SL1344_1557/SL1344_1644/SL1344_1708/SL1344_1723/SL1344_1755/SL1344_1818/SL1344_1820/SL1344_1822/SL1344_2058/SL1344_2118/SL1344_2171/SL1344_2306/SL1344_2307/SL1344_2335/SL1344_2357/SL1344_2371/SL1344_2393/SL1344_2435/SL1344_2436/SL1344_2437/SL1344_2517/SL1344_2931/SL1344_3029/SL1344_3031/SL1344_3038/SL1344_3039/SL1344_3044/SL1344_3045/SL1344_3052/SL1344_3331/SL1344_3353/SL1344_3431/SL1344_3450/SL1344_3467/SL1344_3665/SL1344_3670/SL1344_3865/SL1344_3936/SL1344_3984/SL1344_4011/SL1344_4030/SL1344_4034/SL1344_4069/SL1344_4118/SL1344_4119/SL1344_4157/SL1344_4211/SL1344_4278/SL1344_4279/SL1344_4280/SL1344_4348",77
"sey00010","sey00010","Glycolysis / Gluconeogenesis","33/547","44/1771",1.35401900041214e-09,2.88744913813624e-08,2.05069311015383e-08,"SL1344_0152/SL1344_0153/SL1344_0154/SL1344_0680/SL1344_0749/SL1344_0750/SL1344_1056/SL1344_1140/SL1344_1224/SL1344_1225/SL1344_1261/SL1344_1283/SL1344_1312/SL1344_1497/SL1344_1557/SL1344_1680/SL1344_1822/SL1344_2118/SL1344_2371/SL1344_2396/SL1344_2931/SL1344_3044/SL1344_3045/SL1344_3467/SL1344_3645/SL1344_3670/SL1344_4011/SL1344_4030/SL1344_4034/SL1344_4157/SL1344_4211/SL1344_4348/SL1344_4416",33
"sey03010","sey03010","Ribosome","49/547","77/1771",1.39154175331867e-09,2.88744913813624e-08,2.05069311015383e-08,"SL1344_0044/SL1344_0217/SL1344_0918/SL1344_1128/SL1344_1270/SL1344_2201/SL1344_2646/SL1344_2649/SL1344_3183/SL1344_3256/SL1344_3276/SL1344_3316/SL1344_3317/SL1344_3381/SL1344_3383/SL1344_3384/SL1344_3385/SL1344_3388/SL1344_3389/SL1344_3390/SL1344_3391/SL1344_3392/SL1344_3393/SL1344_3394/SL1344_3395/SL1344_3396/SL1344_3397/SL1344_3399/SL1344_3400/SL1344_3401/SL1344_3402/SL1344_3403/SL1344_3404/SL1344_3406/SL1344_3407/SL1344_3408/SL1344_3414/SL1344_3415/SL1344_3693/SL1344_3694/SL1344_3806/SL1344_4045/SL1344_4088/SL1344_4089/SL1344_4090/SL1344_4091/SL1344_4324/SL1344_4326/SL1344_4327",49
"sey01230","sey01230","Biosynthesis of amino acids","71/547","128/1771",1.76767245601404e-09,2.9343362769833e-08,2.08399279024813e-08,"SL1344_0002/SL1344_0004/SL1344_0007/SL1344_0112/SL1344_0113/SL1344_0159/SL1344_0208/SL1344_0214/SL1344_0318/SL1344_0381/SL1344_0662/SL1344_0712/SL1344_0737/SL1344_0749/SL1344_0873/SL1344_0914/SL1344_0935/SL1344_1176/SL1344_1225/SL1344_1261/SL1344_1312/SL1344_1644/SL1344_1654/SL1344_1657/SL1344_1658/SL1344_1708/SL1344_1755/SL1344_1822/SL1344_2048/SL1344_2049/SL1344_2050/SL1344_2051/SL1344_2053/SL1344_2054/SL1344_2118/SL1344_2300/SL1344_2393/SL1344_2436/SL1344_2437/SL1344_2452/SL1344_2517/SL1344_2931/SL1344_3038/SL1344_3039/SL1344_3044/SL1344_3045/SL1344_3052/SL1344_3065/SL1344_3262/SL1344_3302/SL1344_3450/SL1344_3453/SL1344_3506/SL1344_3665/SL1344_3670/SL1344_3844/SL1344_3863/SL1344_3864/SL1344_3865/SL1344_3869/SL1344_3954/SL1344_4011/SL1344_4030/SL1344_4049/SL1344_4050/SL1344_4070/SL1344_4073/SL1344_4156/SL1344_4184/SL1344_4395/SL1344_4399",71
"sey00020","sey00020","Citrate cycle (TCA cycle)","21/547","28/1771",1.63923118241689e-06,2.2676031356767e-05,1.6104727406201e-05,"SL1344_0152/SL1344_0153/SL1344_0154/SL1344_0159/SL1344_0712/SL1344_0714/SL1344_0716/SL1344_0717/SL1344_0718/SL1344_0719/SL1344_0720/SL1344_0721/SL1344_1176/SL1344_1398/SL1344_1400/SL1344_1644/SL1344_3331/SL1344_3467/SL1344_4278/SL1344_4279/SL1344_4280",21
"sey01250","sey01250","Biosynthesis of nucleotide sugars","30/547","49/1771",8.44427560035649e-06,0.000100124982118513,7.11096892661599e-05,"SL1344_0306/SL1344_0680/SL1344_0751/SL1344_0753/SL1344_1397/SL1344_1683/SL1344_1700/SL1344_2057/SL1344_2060/SL1344_2061/SL1344_2066/SL1344_2067/SL1344_2068/SL1344_2069/SL1344_2070/SL1344_2072/SL1344_2075/SL1344_2268/SL1344_2371/SL1344_3173/SL1344_3265/SL1344_3279/SL1344_3287/SL1344_3288/SL1344_3503/SL1344_3676/SL1344_3828/SL1344_3829/SL1344_3884/SL1344_4157",30
"sey00620","sey00620","Pyruvate metabolism","35/547","62/1771",1.90542362687855e-05,0.00016866336670521,0.000119786284533821,"SL1344_0113/SL1344_0152/SL1344_0153/SL1344_0154/SL1344_0233/SL1344_0874/SL1344_0910/SL1344_0934/SL1344_1072/SL1344_1283/SL1344_1312/SL1344_1398/SL1344_1400/SL1344_1496/SL1344_1497/SL1344_1557/SL1344_1577/SL1344_1680/SL1344_1822/SL1344_2306/SL1344_2307/SL1344_2335/SL1344_2435/SL1344_3331/SL1344_3353/SL1344_3467/SL1344_3645/SL1344_3659/SL1344_4069/SL1344_4118/SL1344_4211/SL1344_4278/SL1344_4279/SL1344_4280/SL1344_4416",35
"sey00250","sey00250","Alanine, aspartate and glutamate metabolism","22/547","33/1771",2.08371344674874e-05,0.00016866336670521,0.000119786284533821,"SL1344_0067/SL1344_0068/SL1344_0662/SL1344_0935/SL1344_1062/SL1344_1170/SL1344_1723/SL1344_2300/SL1344_2331/SL1344_2775/SL1344_2776/SL1344_3081/SL1344_3262/SL1344_3302/SL1344_3828/SL1344_3844/SL1344_3954/SL1344_4073/SL1344_4263/SL1344_4299/SL1344_4391/SL1344_4450",22
"sey00520","sey00520","Amino sugar and nucleotide sugar metabolism","31/547","53/1771",2.22563523046057e-05,0.00016866336670521,0.000119786284533821,"SL1344_0666/SL1344_0667/SL1344_0680/SL1344_0751/SL1344_0753/SL1344_1140/SL1344_1397/SL1344_1683/SL1344_1759/SL1344_1760/SL1344_1761/SL1344_2057/SL1344_2060/SL1344_2061/SL1344_2066/SL1344_2067/SL1344_2068/SL1344_2069/SL1344_2070/SL1344_2075/SL1344_2268/SL1344_2371/SL1344_2396/SL1344_3265/SL1344_3279/SL1344_3309/SL1344_3311/SL1344_3503/SL1344_3828/SL1344_3829/SL1344_4157",31
"sey00680","sey00680","Methane metabolism","21/547","31/1771",2.2352976310329e-05,0.00016866336670521,0.000119786284533821,"SL1344_0749/SL1344_0914/SL1344_1261/SL1344_1283/SL1344_1557/SL1344_2118/SL1344_2171/SL1344_2306/SL1344_2307/SL1344_2517/SL1344_2931/SL1344_3038/SL1344_3044/SL1344_3331/SL1344_3670/SL1344_3984/SL1344_4011/SL1344_4034/SL1344_4069/SL1344_4211/SL1344_4348",21
"sey01212","sey01212","Fatty acid metabolism","15/547","20/1771",5.68940423364904e-05,0.000393517126160725,0.000279479506214339,"SL1344_0228/SL1344_0233/SL1344_0305/SL1344_1007/SL1344_1130/SL1344_1131/SL1344_1132/SL1344_1134/SL1344_1631/SL1344_2335/SL1344_2347/SL1344_2357/SL1344_3353/SL1344_3935/SL1344_3936",15
"sey00260","sey00260","Glycine, serine and threonine metabolism","23/547","37/1771",7.14808587454782e-05,0.000456377790451899,0.000324123731963302,"SL1344_0002/SL1344_0004/SL1344_0154/SL1344_0749/SL1344_0873/SL1344_0914/SL1344_1072/SL1344_1441/SL1344_1657/SL1344_1658/SL1344_1755/SL1344_2517/SL1344_2616/SL1344_3029/SL1344_3031/SL1344_3038/SL1344_3506/SL1344_3670/SL1344_3674/SL1344_3675/SL1344_3865/SL1344_4050/SL1344_4156",23
"sey00061","sey00061","Fatty acid biosynthesis","11/547","13/1771",9.22901464146776e-05,0.000547148725172732,0.000388590090167064,"SL1344_0228/SL1344_0233/SL1344_1007/SL1344_1130/SL1344_1131/SL1344_1132/SL1344_1134/SL1344_1631/SL1344_2335/SL1344_2347/SL1344_3353",11
"sey00190","sey00190","Oxidative phosphorylation","26/547","45/1771",0.000139763035932408,0.00077335546549266,0.0005492442113835,"SL1344_0355/SL1344_0436/SL1344_0437/SL1344_0714/SL1344_0716/SL1344_0717/SL1344_0722/SL1344_0723/SL1344_1148/SL1344_2285/SL1344_2287/SL1344_2290/SL1344_2292/SL1344_2293/SL1344_2295/SL1344_2296/SL1344_2297/SL1344_3832/SL1344_3833/SL1344_3834/SL1344_3836/SL1344_3837/SL1344_4278/SL1344_4279/SL1344_4280/SL1344_4347",26
"sey00640","sey00640","Propanoate metabolism","21/547","35/1771",0.000304990246523472,0.00158213690384051,0.00112364827666542,"SL1344_0154/SL1344_0159/SL1344_0233/SL1344_0363/SL1344_0364/SL1344_0365/SL1344_0366/SL1344_0720/SL1344_0721/SL1344_0910/SL1344_2306/SL1344_2307/SL1344_2335/SL1344_2357/SL1344_2776/SL1344_3138/SL1344_3349/SL1344_3353/SL1344_3936/SL1344_4058/SL1344_4211",21
"sey03018","sey03018","RNA degradation","12/547","16/1771",0.000338980695141134,0.00165502339392436,0.00117541293671229,"SL1344_0012/SL1344_0185/SL1344_1122/SL1344_2931/SL1344_3253/SL1344_3255/SL1344_3874/SL1344_3876/SL1344_4011/SL1344_4267/SL1344_4295/SL1344_4301",12
"sey01120","sey01120","Microbial metabolism in diverse environments","109/547","278/1771",0.000809948400370402,0.00373476206837463,0.00265246259770424,"SL1344_0002/SL1344_0004/SL1344_0007/SL1344_0152/SL1344_0153/SL1344_0154/SL1344_0159/SL1344_0203/SL1344_0214/SL1344_0233/SL1344_0367/SL1344_0535/SL1344_0680/SL1344_0712/SL1344_0714/SL1344_0716/SL1344_0717/SL1344_0718/SL1344_0719/SL1344_0720/SL1344_0721/SL1344_0749/SL1344_0750/SL1344_0873/SL1344_0910/SL1344_0914/SL1344_1056/SL1344_1072/SL1344_1176/SL1344_1224/SL1344_1225/SL1344_1261/SL1344_1283/SL1344_1312/SL1344_1380/SL1344_1398/SL1344_1400/SL1344_1497/SL1344_1508/SL1344_1509/SL1344_1528/SL1344_1557/SL1344_1577/SL1344_1644/SL1344_1680/SL1344_1708/SL1344_1723/SL1344_1818/SL1344_1820/SL1344_1822/SL1344_2058/SL1344_2118/SL1344_2171/SL1344_2181/SL1344_2306/SL1344_2307/SL1344_2335/SL1344_2357/SL1344_2371/SL1344_2381/SL1344_2393/SL1344_2435/SL1344_2436/SL1344_2437/SL1344_2452/SL1344_2495/SL1344_2517/SL1344_2775/SL1344_2776/SL1344_2927/SL1344_2931/SL1344_3038/SL1344_3039/SL1344_3044/SL1344_3045/SL1344_3052/SL1344_3121/SL1344_3302/SL1344_3331/SL1344_3353/SL1344_3431/SL1344_3450/SL1344_3467/SL1344_3506/SL1344_3645/SL1344_3665/SL1344_3670/SL1344_3891/SL1344_3935/SL1344_3936/SL1344_3954/SL1344_3984/SL1344_4011/SL1344_4030/SL1344_4034/SL1344_4050/SL1344_4069/SL1344_4118/SL1344_4119/SL1344_4156/SL1344_4157/SL1344_4211/SL1344_4278/SL1344_4279/SL1344_4280/SL1344_4337/SL1344_4348/SL1344_4416/SL1344_4450",109
"sey00270","sey00270","Cysteine and methionine metabolism","20/547","37/1771",0.00257529048924449,0.0112499531898575,0.00798982090845937,"SL1344_0002/SL1344_0208/SL1344_0914/SL1344_0935/SL1344_1755/SL1344_1776/SL1344_2393/SL1344_2495/SL1344_2803/SL1344_3038/SL1344_3065/SL1344_3070/SL1344_3331/SL1344_3506/SL1344_3665/SL1344_3863/SL1344_4049/SL1344_4050/SL1344_4156/SL1344_4184",20
"sey00630","sey00630","Glyoxylate and dicarboxylate metabolism","18/547","33/1771",0.00369477116540855,0.0153333003364455,0.010889851855941,"SL1344_0154/SL1344_0159/SL1344_0712/SL1344_1072/SL1344_1253/SL1344_1644/SL1344_1687/SL1344_1818/SL1344_2517/SL1344_3029/SL1344_3031/SL1344_3221/SL1344_3331/SL1344_3954/SL1344_3984/SL1344_4118/SL1344_4119/SL1344_4211",18
"sey00541","sey00541","O-Antigen nucleotide sugar biosynthesis","15/547","26/1771",0.00390819683074618,0.0154466827119968,0.0109703770687612,"SL1344_0753/SL1344_1397/SL1344_1683/SL1344_2057/SL1344_2060/SL1344_2061/SL1344_2066/SL1344_2067/SL1344_2068/SL1344_2069/SL1344_2070/SL1344_2072/SL1344_2075/SL1344_3829/SL1344_3884",15
"sey00480","sey00480","Glutathione metabolism","14/547","24/1771",0.00461939256892808,0.0174277083282287,0.0123773198019126,"SL1344_0312/SL1344_0693/SL1344_0838/SL1344_0997/SL1344_1176/SL1344_1383/SL1344_1820/SL1344_2058/SL1344_2498/SL1344_2803/SL1344_3070/SL1344_3517/SL1344_3562/SL1344_4407",14
"sey03060","sey03060","Protein export","11/547","18/1771",0.00746878534153165,0.0269525731890055,0.0191419670080445,"SL1344_0136/SL1344_0401/SL1344_0402/SL1344_0403/SL1344_2650/SL1344_3264/SL1344_3387/SL1344_3667/SL1344_3809/SL1344_3927/SL1344_3928",11
"sey00030","sey00030","Pentose phosphate pathway","20/547","41/1771",0.0115401296900359,0.0399096151780408,0.0283441781860531,"SL1344_0007/SL1344_0170/SL1344_0680/SL1344_1261/SL1344_1708/SL1344_1818/SL1344_1820/SL1344_2058/SL1344_2118/SL1344_2436/SL1344_2437/SL1344_3039/SL1344_3044/SL1344_3052/SL1344_3450/SL1344_4011/SL1344_4034/SL1344_4157/SL1344_4348/SL1344_4496",20
